Джон Уик 4	2023	169 мин.	США	боевик	Режиссёр: Чад Стахелски	В ролях: Киану Ривз, Донни Йен	7.9
Операция «Фортуна»: Искусство побеждать	2022	114 мин.	Великобритания	боевик 	Режиссёр: Гай Ричи	В ролях: Джейсон Стэйтем, Обри Плаза	7.1
Ампир V	2022	114 мин.	Россия	фэнтези	Режиссёр: Виктор Гинзбург	В ролях: Павел Табаков, Таисия Радченко
На солнце, вдоль рядов кукурузы	2022	90 мин.	Россия	драма	Режиссёр: Сарик Андреасян	В ролях: Егор Бероев, Полина Максимова	6.5
Поехавшая	2023	110 мин.	Россия	комедия	Режиссёр: Антон Маслов	В ролях: Ольга Лерман, такса Таисия	8.0
Джон Уик	2014	101 мин.	США	боевик	Режиссёр: Чад Стахелски	В ролях: Киану Ривз, Микаэл Нюквист	7.0
Аватар: Путь воды	2022	192 мин.	США	фантастика	Режиссёр: Джеймс Кэмерон	В ролях: Сэм Уортингтон, Зои Салдана	7.9
Чебурашка	2022	113 мин.	Россия	семейный	Режиссёр: Дмитрий Дьяченко	В ролях: Сергей Гармаш, Ольга Кузьмина	7.3
Всё везде и сразу	2021	139 мин.	США	фантастика	Режиссёр: Дэн Кван	В ролях: Мишель Йео, Джейми Ли Кёртис	7.3
Коты Эрмитажа	2022	83 мин.	Россия	мультфильм	Режиссёр: Василий Ровенский	В ролях: Роман Курцын, Диомид Виноградов	4.8
Непослушная	2023	107 мин.	Россия	мелодрама	Режиссёр: Дмитрий Суворов	В ролях: Александр Петров, Анастасия Резник	4.5
Джон Уик 2	2017	122 мин.	США	боевик	Режиссёр: Чад Стахелски	В ролях: Киану Ривз, Риккардо Скамарчо	7.1
Крушение	2022	107 мин.	Великобритания	боевик	Режиссёр: Жан-Франсуа Рише	В ролях: Джерард Батлер, Майк Колтер	7.1
Джон Уик 3	2019	130 мин.	США	боевик	Режиссёр: Чад Стахелски	В ролях: Киану Ривз, Холли Берри	6.9
Кит	2022	117 мин.	США	драма	Режиссёр: Даррен Аронофски	В ролях: Брендан Фрейзер, Сэди Синк	7.8
Нюрнберг	2023	131 мин.	Россия	история	Режиссёр: Николай Лебедев	В ролях: Сергей Кемпо, Любовь Аксёнова	6.1
Праведник	2022	163 мин.	Россия	драма	Режиссёр: Сергей Урсуляк	В ролях: Александр Яценко, Сергей Маковецкий	7.7
Джентльмены	2019	113 мин.	Великобритания	криминал	Режиссёр: Гай Ричи	В ролях: Мэттью МакКонахи, Чарли Ханнэм	8.5
Крик 6	2023	122 мин.	США	ужасы	Режиссёр: Мэттью Беттинелли	В ролях: Кортни Кокс, Мелисса Баррера	6.7
Шазам! Ярость богов	2023	130 мин.	США	фэнтези	Режиссёр: Дэвид Ф. Сандберг	В ролях: Закари Ливай, Эшер Энджел	6.1
Красные огни	2011	114 мин.	Испания	фэнтези	Режиссёр: Родриго Кортес	В ролях: Киллиан Мерфи, Роберт Де Ниро	6.9
Быстрее пули	2022	126 мин.	США	боевик	Режиссёр: Дэвид Литч	В ролях: Брэд Питт, Джои Кинг	7.7
Человек-муравей и Оса: Квантомания	2023	124 мин.	США	фантастика	Режиссёр: Пейтон Рид	В ролях: Пол Радд, Эванджелин Лилли	6.1
Кот в сапогах 2: Последнее желание	2022	102 мин.	США	мультфильм	Режиссёр: Джоэль Кроуфорд	В ролях: Антонио Бандерас, Сальма Хайек	8.1
Вавилон	2022	189 мин.	США	драма	Режиссёр: Дэмьен Шазелл	В ролях: Диего Кальва, Марго Робби	7.5
Подземелья и драконы: Честь среди воров	2023	134 мин.	США	фэнтези	Режиссёр: Джон Фрэнсис Дейли	В ролях: Крис Пайн, Мишель Родригес
На Западном фронте без перемен	2022	148 мин.	Германия	военный	Режиссёр: Эдвард Бергер	В ролях: Феликс Каммерер, Альбрехт Шух	7.6
Изумительный Морис	2022	93 мин.	Великобритания	мультфильм	Режиссёр: Тоби Генкель	В ролях: Хью Лори, Эмилия Кларк	7.3
Три мушкетёра: Д’Артаньян	2023	121 мин.	Франция	боевик	Режиссёр: Мартин Бурбулон	В ролях: Франсуа Сивиль, Венсан Кассель
Сын	2022	123 мин.	Великобритания	драма	Режиссёр: Флориан Зеллер	В ролях: Хью Джекман, Лора Дерн	7.1
Беспринципные в деревне	2023	90 мин.	Россия	комедия	Режиссёр: Роман Прыгунов	В ролях: Павел Деревянко, Оксана Акиньшина	5.9
Банши Инишерина	2022	114 мин.	Великобритания	драма	Режиссёр: Мартин Макдона	В ролях: Колин Фаррелл, Брендан Глисон	7.5
Мой ужасный сосед	2022	126 мин.	США	драма	Режиссёр: Марк Форстер	В ролях: Том Хэнкс, Мариана Тревино	7.5
Три тысячи лет желаний	2022	108 мин.	Австралия	фэнтези	Режиссёр: Джордж Миллер	В ролях: Тильда Суинтон, Идрис Эльба	7.3
Бойцовский клуб	1999	139 мин.	США	триллер	Режиссёр: Дэвид Финчер	В ролях: Эдвард Нортон, Брэд Питт	8.7
Кокаиновый медведь	2023	95 мин.	США	триллер	Режиссёр: Элизабет Бэнкс	В ролях: Кери Рассел, Олден Эренрайк	6.0
Невыносимая тяжесть огромного таланта	2022	105 мин.	США	боевик	Режиссёр: Том Гормикэн	В ролях: Николас Кейдж, Педро Паскаль	7.0
Гнев человеческий	2021	119 мин.	Великобритания	боевик	Режиссёр: Гай Ричи	В ролях: Джейсон Стэйтем, Холт Маккэллани	7.6
На краю	2022	86 мин.	Великобритания	триллер	Режиссёр: Ховард Дж. Форд	В ролях: Бриттани Эшворт, Бен Лэмб	6.1
Переводчик	2023	119 мин.	Великобритания	боевик	Режиссёр: Гай Ричи	В ролях: Джейк Джилленхол, Дар Салим
